time,open,high,low,close,Fixed Stop Loss,Supertrend Stop,Take Profit,Up Trend,Down Trend,Entry1,Entry2,SMA 21,EMA,Call Stop Loss,Call Take Profit,Put Stop Loss,Put Take Profit,Call EMA,Put EMA,Call Up Trend,Call Down Trend,Put Up Trend,Put Down Trend,K,D,%R,%R
1752045480,170.35,173.25,170.1,173.05,NaN,NaN,NaN,NaN,180.67324818001148,0,0,175.19298208638924,173.80407584993333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.493942786287647,4.507401299022475,-66.57381615598884,-66.57381615598884
1752045540,173.3,177,172.8,176.1,NaN,NaN,NaN,NaN,180.67324818001148,1,0,175.3063593255906,174.26326067994665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.9812303834649,13.834478093510775,-49.01408450704235,-49.58217270194992
1752045600,175.45,176.8,175,175.65,165.534,NaN,188.1,NaN,180.67324818001148,0,0,175.34931440989178,174.54060854395732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.461399802383966,26.978857657378835,-35.82089552238799,-52.089136490250695
1752045660,175.8,177.3,175.1,176.4,165.534,NaN,188.1,NaN,180.67324818001148,0,0,175.4806501086553,174.91248683516585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.222978496014186,39.555202893954345,-19.74248927038616,-47.910863509749305
1752045720,176.1,177.85,175.75,176.4,165.534,NaN,188.1,NaN,180.67324818001148,0,0,175.5955688450734,175.20998946813268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.96295126797502,46.88244318879106,-13.425925925925842,-47.910863509749305
1752045780,176.4,176.75,173.5,173.9,165.534,NaN,188.1,NaN,180.67324818001148,0,0,175.3836227394392,174.94799157450615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.724529722331795,48.303486495440325,-36.574074074074026,-61.838440111420624
1752045840,173.35,175.5,173.35,174.7,165.534,NaN,188.1,NaN,180.67324818001148,0,0,175.2981698970093,174.89839325960492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.69697828893302,47.79481975974661,-36.000000000000064,-57.381615598885894
1752045900,175.15,175.25,172,172,165.534,NaN,188.1,NaN,180.67324818001148,0,0,174.88589865988314,174.31871460768394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.9004444923633,46.107317501209366,-67.63005780346809,-72.42339832869085
1752045960,172.4,175,172.4,174.6,165.534,NaN,188.1,NaN,180.67324818001148,0,0,174.85016132739776,174.37497168614715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.10196097969081,51.233127920329046,-41.935483870967744,-57.93871866295271
1752046020,174.9,175.2,172.4,172.8,165.534,NaN,188.1,NaN,180.67324818001148,0,0,174.59389116147304,174.05997734891773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.9037386967305,55.96871472292819,-86.32478632478612,-67.96657381615597
1752046080,173.4,174,171.75,172.3,165.534,NaN,188.1,NaN,180.67324818001148,0,0,174.3071547662889,173.7079818791342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.44799658212948,62.817898752850255,-90.98360655737686,-70.75208913649023
1752046140,172.25,173.25,171.35,172,165.534,NaN,188.1,NaN,180.67324818001148,0,0,174.0187604205028,173.36638550330736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.68761865700855,60.679784645289494,-89.99999999999991,-72.42339832869085
1752046200,171.6,172.65,170.45,171.75,165.534,NaN,188.1,NaN,179.85895333685502,0,0,173.73516536793994,173.04310840264588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.926464511166735,56.02069325010158,-82.4324324324323,-73.81615598885799
1752046260,171.45,172.5,170.05,171.4,165.534,NaN,188.1,NaN,179.48805800316953,0,0,173.44326969694745,172.7144867221167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.95148005319939,44.18852107379155,-79.85074626865676,-75.76601671309194
1752046320,170.65,172.2,170.3,172.15,165.534,NaN,188.1,NaN,179.21175220285255,0,0,173.28161098482903,172.60158937769336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.696626388757362,33.19152365104116,-61.46788990825691,-71.58774373259055
1752046380,172.3,172.3,165.75,166.4,165.534,NaN,188.1,NaN,178.1555769825673,0,0,172.4214096117254,171.3612715021547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.45629388182018,20.034800107925637,-93.15789473684204,-96.6233766233766
1752046440,167.55,167.55,153.1,154.8,NaN,NaN,NaN,NaN,172.87751928431058,0,0,170.21873341025974,168.04901720172376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.456293881820178,12.869738050799233,-92.30769230769224,-94.67084639498428
1752046500,154.9,163.1,154.9,162.3,NaN,NaN,NaN,NaN,172.78726735587952,0,0,169.22889173397726,166.899213761379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.456841533575965,11.456476432405433,-58.371040723981814,-71.15987460815043
1752046560,162.05,164.05,161.05,162.1,NaN,NaN,NaN,NaN,172.78726735587952,1,0,168.3377802672301,165.9393710091032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.47467084680983,20.795935420735326,-56.937799043062206,-71.78683385579937
1752046620,162.3,162.3,159.15,159.85,152.374,NaN,174.1,NaN,172.78726735587952,0,0,167.27680773382633,164.72149680728256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.56694997833185,35.49948745290588,-66.50124069478909,-78.84012539184953
1752046680,159.95,160.55,157.9,159.25,152.374,NaN,174.1,NaN,171.6504179024362,0,0,166.27345676709803,163.62719744582606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.42956771725998,46.49039618080055,-68.54219948849104,-80.59936908517349
1752046740,159.8,161.3,159.2,160.15,152.374,NaN,174.1,NaN,171.6504179024362,0,0,165.50802467121076,162.93175795666085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.06726656722763,50.68792808760649,-63.659793814432945,-74.22303473491768
1752046800,160.15,161,159.2,161,152.374,NaN,174.1,NaN,171.2715885009733,0,0,164.94452158730942,162.5454063653287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.92533065108076,51.80738831185613,-58.85416666666667,-69.14062499999997
1752046860,161.25,168.1,160.5,166.7,152.374,NaN,174.1,NaN,171.2715885009733,0,0,165.16395638889574,163.37632509226296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.93920471191,59.64393397673947,-29.16666666666676,-45.050505050505066
1752046920,166.2,168.35,164.5,168.35,152.374,NaN,174.1,NaN,171.2715885009733,0,0,165.56221184028377,164.37106007381036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.61700988204181,73.16051508167753,0,-38.38383838383838
1752046980,168.4,170.65,167.65,169.3,152.374,NaN,174.1,NaN,171.2715885009733,0,0,166.0294353602483,165.35684805904827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,87.85207153131728,-8.571428571428536,-34.545454545454476
1752047040,168.8,170.95,168.3,169.75,152.374,NaN,174.1,NaN,171.2715885009733,0,0,166.49450594021727,166.23547844723862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,96.53900329401394,-9.1954022988505,-32.727272727272705
1752047100,169.55,170.85,168.2,168.55,152.374,NaN,174.1,NaN,171.2715885009733,0,0,166.7514426976901,166.6983827577909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.6727187257277,99.22423957524256,-18.390804597701,-37.57575757575751
1752047160,168,171.75,168,170.6,152.374,NaN,174.1,NaN,171.2715885009733,0,0,167.23251236047884,167.47870620623272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.6727187257277,98.44847915048514,-8.30324909747297,-29.292929292929294
1752047220,171.15,172,169.95,169.95,152.374,NaN,174.1,NaN,171.2715885009733,0,0,167.57219831541897,167.97296496498618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.36779237380479,97.23774327508674,-16.015625000000075,-31.91919191919194
1752047280,169.85,169.9,167.3,168.6,152.374,NaN,174.1,NaN,171.2715885009733,0,0,167.7006735259916,168.09837197198894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.25901609704069,95.43317573219106,-26.56250000000002,-37.37373737373738
1752047340,168.65,170.8,167,169.55,152.374,NaN,174.1,NaN,171.2715885009733,0,0,167.93183933524264,168.38869757759116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.8275218186822,92.48477676317589,-21.304347826086858,-33.535353535353465
1752047400,170.15,171.2,169.6,170.05,152.374,NaN,174.1,NaN,171.2715885009733,0,0,168.19660941833732,168.72095806207292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.30866117058929,89.79839969543741,-25.999999999999847,-28.32980972515851
1752047460,170.05,171.9,169,170.8,152.374,NaN,174.1,NaN,171.2715885009733,0,0,168.52203324104516,169.13676644965835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.74471872162565,90.62696723696574,-23.999999999999773,-20.9821428571428
1752047520,171,174.65,170.6,172.55,NaN,NaN,NaN,162.56782379796294,NaN,0,0,169.0255290859145,169.81941315972668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.17621299998414,93.74319763073305,-27.45098039215677,-12.189616252821615
1752047580,172.4,173.4,171.6,173.4,NaN,NaN,NaN,162.90854141816664,NaN,0,0,169.5723379501752,170.53553052778133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,97.64031057386995,-16.33986928104574,-8.144796380090423
1752047640,173.7,174.5,170.65,171.6,NaN,NaN,NaN,162.90854141816664,NaN,0,0,169.8257957064033,170.74842442222507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.48676053716231,94.88765784571551,-39.869281045751755,-16.289592760180973
1752047700,172.45,173.35,169.8,170.5,NaN,NaN,NaN,162.90854141816664,NaN,0,0,169.9100712431029,170.69873953778006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.100837862975006,82.19586613337913,-54.24836601307193,-19.257540603248277
1752047760,170.4,171,167.3,169.65,NaN,NaN,NaN,162.90854141816664,NaN,0,0,169.87756233771503,170.48899163022404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.767504529641666,57.785034309926345,-65.35947712418296,-23.201856148491867
1752047820,169.7,172.95,169.2,172.9,NaN,NaN,NaN,162.90854141816664,NaN,0,0,170.25536704550066,170.97119330417922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.723158797245258,39.530500396620674,-22.875816993464035,-8.120649651972153
1752047880,172.45,174.25,172,172.65,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.5546961648131,171.30695464334337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.24432581607093,35.244996380985974,-27.210884353741516,-9.280742459396746
1752047940,172.3,173,171.8,171.8,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.71035914421145,171.4055637146747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.69418686886303,46.88722382739309,-38.775510204081584,-13.225058004640339
1752048000,171.75,171.95,169.55,170.4,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.67156425118503,171.20445097173976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.61499252646389,49.18450173713264,-57.82312925170073,-19.721577726218086
1752048060,170.5,173,170.5,171.25,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.74386871978692,171.21356077739182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.178903394075203,41.82936092980073,-45.13888888888896,-15.777262180974496
1752048120,171.3,171.5,169.4,170,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.65088512981356,170.97084862191346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.729042341283105,24.84097942060742,-62.5000000000001,-23.544303797468384
1752048180,170.05,171.6,170,170.05,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.57577448858686,170.78667889753078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.478411674161807,15.128785803173391,-60.43165467625893,-27.462686567164145
1752048240,170,170.95,169.55,170.2,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.5288026775135,170.6693431180246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3165366395984264,7.507996885014468,-58.27338129496429,-26.56716417910458
1752048300,170,170.75,167.95,170.3,NaN,NaN,NaN,163.34055912201325,NaN,0,0,170.5002023428243,170.5954744944197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.19520669133485,5.663385001698384,-62.698412698412405,-25.97014925373131
1752048360,169.2,170,163.85,165.25,NaN,NaN,NaN,163.34055912201325,NaN,0,0,169.84392704997128,169.52637959553576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.749283562756053,4.0870089645631325,-86.53846153846149,-60.84142394822003
1752048420,166,167.8,165.95,167.2,NaN,NaN,NaN,163.34055912201325,NaN,0,0,169.51343616872487,169.06110367642862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.980160136151317,7.641550130080764,-63.38797814207659,-48.22006472491915
1752048480,166.85,170,166.85,169.75,NaN,NaN,NaN,163.34055912201325,NaN,0,1,169.54300664763426,169.1988829411429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.60354934830905,16.44433101573883,-35.51912568306009,-34.628975265017694
1752048540,170.35,170.35,166.95,166.95,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,169.21888081667998,168.7491063529143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.59122575956443,29.05831174800829,-66.12021857923506,-71.29629629629638
1752048600,166.75,168.25,166.75,167.35,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.98527071459498,168.46928508233145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.25159436215801,39.81545649001052,-54.83870967741935,-67.59259259259262
1752048660,167,168.6,167,168.6,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.9371118752706,168.49542806586516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.671523343214915,43.504781154979135,-38.70967741935484,-56.01851851851856
1752048720,168.7,169.8,167.85,168.95,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.93872289086178,168.58634245269212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.02930075524825,47.65080615354041,-28.169014084507065,-52.77777777777788
1752048780,168.5,169.25,164.4,164.6,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.39638252950405,167.7890739621537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.32024140686399,48.34035516844241,-89.1304347826087,-93.05555555555556
1752048840,165.05,167.85,165.05,167.65,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.30308471331605,167.76125916972296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.18624597979311,50.845262713968474,-41.53846153846136,-64.81481481481475
1752048900,167,169.8,165.9,168.95,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.38394912415154,167.99900733577837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.174125489837714,52.56020429216496,-23.529411764706023,-52.77777777777788
1752048960,168.65,169.4,168.15,168.4,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.38595548363259,168.0792058686227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.25493176362926,65.20510107775338,-32.77310924369735,-57.87037037037031
1752049020,168.3,169.5,167.55,169.5,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.5252110481785,168.36336469489817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.80027227908242,80.74310984418315,-14.285714285714217,-47.68518518518519
1752049080,168.45,168.9,166.35,166.35,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,168.2533096671562,167.96069175591853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.47475876984474,87.5099876041855,-63.888888888889134,-76.85185185185188
1752049140,167,167.45,165.55,166.15,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,167.99039595876167,167.59855340473482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.38752321251812,81.22085142048178,-67.59259259259262,-78.70370370370362
1752049200,165.55,167,164,164,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,167.49159646391647,166.87884272378784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.79927051990116,60.22051750075469,-100,-98.5915492957746
1752049260,164.15,166.45,164.15,164.8,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,167.1551469059269,166.4630741790303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.75671273467636,41.31450215569856,-86.20689655172397,-91.07981220657261
1752049320,165,166.3,164.95,165.45,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,166.94200354268602,166.26045934322423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.76212577595127,25.772703010176286,-75.00000000000024,-84.61538461538468
1752049380,166,168.15,165.75,168,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,167.07425309985027,166.60836747457938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.52178695719917,31.013541822608953,-31.034482758620825,-60.09615384615381
1752049440,167.55,167.55,164.85,164.85,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,166.79622146236898,166.2566939796635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.79550063779025,41.026471123646914,-84.54545454545465,-90.38461538461539
1752049500,165.1,166.2,164.6,165.3,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,166.60919377957285,166.06535518373082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.21194857679361,53.176412057261025,-76.36363636363616,-86.05769230769215
1752049560,165.2,167.55,164.6,167.3,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,166.69554455712625,166.31228414698467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.006961774420155,54.67147032966802,-32.65306122448964,-62.29508196721295
1752049620,167.15,169,167.15,169,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,166.9836014874855,166.84982731758774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.10131938829154,62.106743246501786,0,-43.71584699453549
1752049680,169.3,172.75,169.05,170.5,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,167.4231513015498,167.5798618540702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94.96642168625749,75.02490094965641,-25.714285714285715,-27.322404371584682
1752049740,171,171.8,169.55,170.5,NaN,163.34055912201325,181.75,163.34055912201325,NaN,0,0,167.8077573888561,168.16388948325616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,90.35591369151636,-26.162790697674435,-25.28089887640448
1752049800,171.3,173.6,170.95,172.35,NaN,164.33173561713502,181.75,164.33173561713502,NaN,0,0,168.37553771524907,169.00111158660494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,98.32214056208585,-13.88888888888889,-12.820512820512821
1752049860,172.35,172.35,168.25,169.8,NaN,164.33173561713502,181.75,164.33173561713502,NaN,0,0,168.55359550084293,169.16088926928396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88.68560228565427,96.22853409521811,-42.22222222222203,-38.9743589743588
1752049920,169.45,169.85,167.1,167.1,NaN,164.33173561713502,181.75,164.33173561713502,NaN,0,0,168.37189606323756,168.74871141542715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.22886759024563,85.30482329196666,-72.22222222222223,-66.66666666666667
1752049980,166.65,166.9,165.4,166.25,NaN,164.33173561713502,181.75,164.33173561713502,NaN,0,0,168.10665905533287,168.24896913234173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.83866919009375,66.25104635533124,-81.6666666666666,-75.38461538461533
1752050040,166,167.05,165.6,166,NaN,164.33173561713502,181.75,164.33173561713502,NaN,0,0,167.84332667341627,167.79917530587338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.83288753810911,45.30014143948285,-84.44444444444439,-79.16666666666666
1752050100,166.4,166.85,163.4,163.4,NaN,NaN,NaN,NaN,173.03648983533157,0,0,167.28791083923923,166.9193402446987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95628890018441,27.542615209462443,-100,-100
1752050160,163.6,164.35,162.6,163.4,NaN,NaN,NaN,NaN,171.14460156689412,0,0,166.80192198433434,166.21547219575896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.01315396700295,14.934110135098846,-92.72727272727262,-92.72727272727262
1752050220,164.1,167.35,164.1,166.95,NaN,NaN,NaN,NaN,171.14460156689412,0,0,166.82043173629256,166.36237775660717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.201714176873173,11.390385681353534,-60.4545454545455,-60.4545454545455
